Date;Overall AQI Value;Main Pollutant;Site Name (of Overall AQI);Site ID (of Overall AQI);Source (of Overall AQI);CO;Ozone;PM10;PM25;NO2
11/13/2017;84;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;22;44;84;37
11/14/2017;68;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;5;28;25;68;33
11/15/2017;63;PM2.5;IEPA TRAILER;17-031-3103;AQS;3;20;14;63;26
11/16/2017;38;PM2.5;CITY HALL;17-043-4002;AQS;3;21;21;38;25
11/17/2017;56;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;3;17;13;56;25
11/18/2017;55;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;5;25;11;55;24
11/19/2017;53;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;3;29;19;53;25
11/20/2017;39;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;3;30;28;39;27
11/21/2017;53;PM2.5;IEPA TRAILER;17-031-3103;AQS;3;25;27;53;33
11/22/2017;45;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;6;27;21;45;37
11/23/2017;60;PM2.5;CITY HALL;17-043-4002;AQS;5;26;20;60;36
11/24/2017;60;PM2.5;CITY HALL;17-043-4002;AQS;6;28;23;60;33
11/25/2017;52;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;7;32;35;52;35
11/26/2017;56;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;7;29;16;56;37
11/27/2017;173;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;30;80;173;79
11/28/2017;63;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;34;60;63;39
11/29/2017;48;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;7;29;31;48;37
11/30/2017;57;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;30;45;57;34
12/1/2017;58;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;10;29;44;58;50
12/2/2017;75;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;10;29;40;75;41
12/3/2017;87;PM2.5;IEPA TRAILER;17-031-3103;AQS;13;32;45;87;62
12/4/2017;60;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;3;34;52;60;29
12/5/2017;51;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;3;31;49;51;22
12/6/2017;33;PM2.5;WASHINGTON HS;17-031-0022;AQS;5;31;32;33;32
12/7/2017;44;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;6;28;31;44;25
12/8/2017;51;PM10;WASHINGTON HS;17-031-0022;AQS;3;27;51;38;37
12/9/2017;56;PM10;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;3;29;56;52;26
12/10/2017;46;PM2.5;CITY HALL;17-043-4002;AQS;5;22;22;46;25
12/11/2017;64;PM2.5;CITY HALL;17-043-4002;AQS;7;30;29;64;34
12/12/2017;60;PM10;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;31;60;54;34
12/13/2017;55;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;3;31;49;55;29
12/14/2017;51;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;31;50;51;41
12/15/2017;54;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;29;33;54;37
12/16/2017;57;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;28;35;57;39
12/17/2017;80;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;11;29;35;80;44
12/18/2017;65;PM2.5;MCKINLEY SCHOOL;17-089-0003;AQS;5;19;22;65;28
12/19/2017;56;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;5;30;29;56;34
12/20/2017;42;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;32;18;42;31
12/21/2017;72;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;30;26;72;31
12/22/2017;78;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;6;23;28;78;25
12/23/2017;62;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;5;27;20;62;24
12/24/2017;64;PM2.5;Gary- Madison St./ Gary Water/ IN American Water Co.;18-089-0031;AQS;6;30;16;64;30
12/25/2017;34;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;3;34;15;34;16
12/26/2017;51;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;5;34;22;51;38
12/27/2017;67;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;29;34;67;42
12/28/2017;65;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;26;30;65;50
12/29/2017;71;PM2.5;CITY HALL;17-043-4002;AQS;6;29;31;71;38
12/30/2017;66;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;34;35;66;37
12/31/2017;56;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;7;31;20;56;38
1/1/2018;55;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;6;30;18;55;38
1/2/2018;63;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;5;31;31;63;36
1/3/2018;64;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;31;28;64;31
1/4/2018;58;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;33;33;58;42
1/5/2018;65;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;32;35;65;63
1/6/2018;69;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;31;37;69;43
1/7/2018;62;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;28;23;62;31
1/8/2018;77;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;5;27;20;77;24
1/9/2018;90;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;6;16;27;90;30
1/10/2018;59;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;27;13;59;27
1/11/2018;43;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;5;24;6;43;30
1/12/2018;58;PM10;Portage- Hwy 12;18-127-0023;AQS;6;38;58;39;18
1/13/2018;48;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;7;31;19;48;34
1/14/2018;65;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;9;29;19;65;44
1/15/2018;61;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;3;29;16;61;30
1/16/2018;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;32;19;61;61
1/17/2018;66;PM2.5;IEPA TRAILER;17-031-3103;AQS;10;29;35;66;42
1/18/2018;65;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;3;28;40;65;29
1/19/2018;60;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;3;31;32;60;27
1/20/2018;65;PM2.5;IEPA TRAILER;17-031-3103;AQS;3;25;21;65;35
1/21/2018;72;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;22;20;72;28
1/22/2018;51;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;3;31;8;51;33
1/23/2018;58;PM2.5;CARY GROVE HS;17-111-0001;AQS;7;32;13;58;23
1/24/2018;52;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;7;29;14;52;31
1/25/2018;64;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;24;21;64;32
1/26/2018;52;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;38;26;52;30
1/27/2018;56;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;6;33;21;56;33
1/28/2018;58;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;7;32;17;58;44
1/29/2018;33;PM2.5;IEPA TRAILER;17-031-3103;AQS;6;31;25;33;27
1/30/2018;51;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;6;32;32;51;40
1/31/2018;55;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;3;24;37;55;24
2/1/2018;52;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;32;44;52;23
2/2/2018;36;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;32;24;36;24
2/3/2018;57;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;3;28;27;57;19
2/4/2018;61;NO2;IEPA TRAILER;17-031-3103;AQS;7;39;25;52;61
2/5/2018;54;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;36;18;54;35
2/6/2018;70;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;7;35;28;70;53
2/7/2018;74;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;39;24;74;47
2/8/2018;83;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;5;41;35;83;43
2/9/2018;72;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;7;40;21;72;54
2/10/2018;59;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;7;38;13;59;38
2/11/2018;58;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;7;44;13;58;44
2/12/2018;68;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;42;19;68;62
2/13/2018;87;PM2.5;IEPA TRAILER;17-031-3103;AQS;13;43;34;87;84
2/14/2018;88;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;37;31;88;32
2/15/2018;78;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;8;38;19;78;46
2/16/2018;66;PM2.5;WASHINGTON HS;17-031-0022;AQS;5;42;17;66;36
2/17/2018;63;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;32;24;63;39
2/18/2018;64;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;36;18;64;39
2/19/2018;53;PM2.5;IEPA TRAILER;17-031-3103;AQS;5;25;10;53;29
2/20/2018;48;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;6;30;8;48;26
